able,Abel,,
acclamation,acclimation,,
acts,ax,,
Adam,atom,,
add,ad,,
addition,edition,,
adds,ads,,
adduce,educe,,
adherence,adherents,,
ado,adieu,,
aerial,ariel,,
affected,effected,,
afterward,afterword,,
aid,aide,,
air,heir,,
ale,ail,,
all,awl,,
allowed,aloud,,
alluded,eluded,,
alter,altar,,
analyst,annalist,,
and,end,,
appetite,apatite,,
apprize,apprise,,
arc,ark,,
ascent,assent,,
assistance,assistants,,
augur,auger,,
aunt,ant,,
away,aweigh,,
axis,axes,access,
axle,axel,,
Babel,babble,,
bad,bade,,
bah,baa,,
bail,bale,,
bait,bate,,
baited,bated,,
bald,balled,bawled,
bali,barley,,
ball,bawl,,
band,banned,,
baron,barren,,
barred,bard,,
base,bass,,
based,baste,,
basil,basal,,
basis,bases,,
basque,bask,,
be,bee,,
beach,beech,,
bear,bare,,
beat,beet,,
been,bin,,
beer,bier,,
bell,belle,,
better,bettor,,
bib,bibb,,
bird,burred,,
birth,berth,,
bite,byte,bight,
bizarre,bazaar,,
block,bloc,,
blue,blew,,
board,bored,,
bold,bowled,,
bomb,balm,,
boolean,bullion,,
booty,bootie,,
border,boarder,,
bore,boar,,
born,borne,,
borough,burrow,,
boulder,bolder,,
bow,beau,,
bow,bough,,
bowed,bode,,
boy,buoy,,
braid,brayed,,
brays,braise,,
breach,breech,,
bread,bred,,
break,brake,,
brewed,brood,,
brews,bruise,,
bridal,bridle,,
broach,brooch,,
browse,brows,,
brute,brut,,
build,billed,,
burger,burgher,,
bury,berry,,
bust,bussed,,
but,butt,,
by,buy,bye,
cached,cashed,,
caddy,caddie,,
Cain,cane,,
calendar,calender,,
callous,callus,,
cannon,canon,,
cantor,canter,,
canvas,canvass,,
capital,capitol,,
carol,carrel,,
carrot,carat,caret,karat
cash,cache,,
cast,caste,,
caster,castor,,
cause,caws,,
cedar,seeder,,
ceiling,sealing,,
centre,center,,
chance,chants,,
chased,chaste,,
chauffeur,shofar,,
cheap,cheep,,
check,Czech,cheque,
chic,sheik,,
Chile,chili,chilly,
choir,quire,,
choose,chews,,
cite,site,sight,
cited,sided,sighted,
cites,sites,sights,
citing,sighting,,
clack,claque,,
clammer,clamor,clamber,
clause,claws,,
click,clique,,
climb,clime,,
close,clothes,,
clue,clew,,
coal,cole,,
coarser,courser,,
coat,cote,,
coax,cokes,,
collared,collard,,
complacent,complaisant,,
complement,compliment,,
conceded,conceited,,
consonants,consonance,,
continents,continence,,
cops,copse,,
coral,choral,,
cord,chord,cored,
core,corps,,
coughers,coffers,,
coulee,coolie,,
council,counsel,,
coup,coo,,
coupe,coop,,
course,coarse,,
cousin,cozen,,
coward,cowered,,
coy,koi,,
craft,kraft,,
crawl,kraal,,
creek,creak,,
crepe,crape,,
cruel,crewel,,
cruise,crews,,
current,currant,,
cursor,curser,,
Cyprus,cypress,,
damn,dam,,
Dane,deign,,
days,daze,,
dear,deer,,
dense,dents,,
descent,dissent,,
die,dye,,
diffused,defused,,
discrete,discreet,,
disperse,disburse,,
do,due,dew,
doc,dock,,
does,doze,,
done,dun,,
draft,draught,,
dual,duel,jewel,
ducked,duct,,
ducks,ducts,,
dying,dyeing,,
earn,urn,,
effect,affect,,
effects,affects,,
eight,ate,,
eke,eek,,
elude,allude,,
elusive,illusive,allusive,
emend,amend,,
errant,arrant,,
eve,eave,,
exceed,accede,,
except,accept,,
exercise,exorcise,,
eyes,ayes,,
facts,fax,,
faint,feint,,
fair,fare,,
fairy,ferry,,
fawn,faun,,
feet,feat,,
fens,fends,,
fete,fate,,
few,phew,,
final,file,,
find,fined,,
finish,Finnish,,
fisher,fissure,,
flare,flair,,
flee,flea,,
flew,flu,flue,
flocks,phlox,,
flow,floe,,
flower,flour,,
flyer,flier,,
foe,faux,,
fold,foaled,,
for,four,fore,
foregone,forgone,,
fort,forte,,
forward,foreword,,
foul,fowl,,
fourth,forth,,
frank,franc,,
freeze,frees,frieze,
friar,fryer,,
fur,fir,,
gaffe,gaff,,
gale,Gail,,
gamble,gambol,,
gate,gait,,
gauge,gage,,
gel,jell,,
gene,Jean,,
gilder,guilder,,
gnome,Nome,,
gopher,gofer,,
gorilla,guerilla,,
gourd,gored,,
grade,grayed,,
graft,graphed,,
graham,gram,,
gray,grey,,
graze,grays,,
great,grate,,
greater,grater,,
Greece,grease,,
grill,grille,,
grizzly,grisly,,
grown,groan,,
guest,guessed,,
guild,gild,,
guilt,gilt,,
hail,hale,,
hair,hare,,
hall,haul,,
handmade,handmaid,,
handsome,hansom,,
hangar,hanger,,
have,halve,,
haze,hays,,
heard,herd,,
heart,hart,,
he'd,heed,,
he'll,heal,heel,
here,hear,,
heroin,heroine,,
hey,hay,,
high,hi,,
higher,hire,,
him,hymn,,
ho,hoe,,
hold,holed,,
holy,wholly,holey,
hoop,whoop,,
horde,hoard,,
horse,hoarse,,
hose,hoes,,
hostile,hostel,,
hue,Hugh,hew,
humorous,humerus,,
hurts,hertz,,
I,eye,,
I'd,eyed,,
idle,idol,,
I'll,aisle,isle,
illicit,elicit,,
illusion,allusion,,
imminent,immanent,,
impassable,impassible,,
in,inn,,
InCites,insights,,
innocence,innocents,,
innumerable,enumerable,,
insight,incite,,
instance,instants,,
intense,intents,,
islet,eyelet,,
its,it's,,
jam,jamb,,
jibe,gibe,,
Jim,gym,,
jinx,jinks,,
kernel,colonel,,
knickers,nickers,,
knit,nit,,
knock,nock,,
knows,nose,,
lacks,lax,,
laid,lade,,
lama,llama,,
lane,lain,,
laps,lapse,,
latter,ladder,,
lay,lei,,
lays,leis,laze,
leach,leech,,
lead,led,,
leak,leek,,
lean,lien,,
least,leased,,
lee,lea,,
lens,lends,,
lesson,lessen,,
let's,lets,,
levy,levee,,
liar,lyre,,
lie,lye,,
light,lite,,
liken,lichen,,
links,lynx,,
literal,littoral,,
load,lode,,
loan,lone,,
loathe,loath,,
loch,lock,,
lochs,locks,,
loot,lute,,
Lou,lieu,,
low,lo,,
lumber,lumbar,,
made,maid,,
main,Maine,mane,
male,mail,,
mall,maul,,
manner,manor,,
mantle,mantel,,
many,mini,,
mark,marc,,
martial,marshal,,
martin,marten,,
Mary,marry,merry,
mast,massed,,
mat,matte,,
matter,madder,,
mayor,mare,,
maze,maize,,
meet,meat,,
metal,medal,mettle,meddle
meteor,meatier,,
might,mite,,
mill,mil,,
mince,mints,,
mind,mined,,
minor,miner,,
missed,mist,,
missile,missal,,
moan,mown,,
moat,mote,,
mode,mowed,,
mood,mooed,,
moose,mousse,,
morning,mourning,,
mourn,morn,,
Mrs,misses,,
mucus,mucous,,
muscle,mussel,,
muse,mews,,
must,mussed,,
mustard,mustered,,
nap,knap,,
naval,navel,,
nave,knave,,
nay,neigh,,
need,knead,kneed,
new,knew,,
Nice,niece,,
nice,gneiss,,
night,knight,,
no,know,,
none,nun,,
not,knot,,
numeral,neural,,
oh,owe,,
one,won,,
or,ore,oar,
oral,aural,,
oriole,aureole,,
our,hour,are,
ours,hours,,
outcast,outcaste,,
overdue,overdo,,
overseas,oversees,,
owed,ode,,
packed,pact,,
pain,pane,,
pair,pear,pare,
pale,pail,,
palette,palate,pallet,
parish,perish,,
parley,parlay,,
past,passed,,
paste,paced,,
patients,patience,,
patted,padded,,
Paul,pall,,
pause,paws,,
peak,peek,pique,
peas,pees,,
pedal,peddle,petal,
pee,pea,,
peel,peal,,
peer,pier,,
penance,pennants,,
per,purr,,
perl,pearl,purl,
pervade,purveyed,,
Pete,peat,,
petrol,petrel,,
pew,pugh,,
phase,faze,,
Phil,fill,,
phrase,frays,,
picot,pekoe,,
pie,pi,,
piece,peace,,
pigeon,pidgin,,
pilot,Pilate,,
pistol,pistil,,
plane,plain,,
plaque,plack,,
plate,plait,,
please,pleas,,
plum,plumb,,
poll,pole,,
pour,pore,poor,
praise,prays,preys,
pray,prey,,
precedence,precedents,,
premier,premiere,,
presence,presents,,
pride,pried,,
primer,primmer,,
prince,prints,,
principle,principal,,
profit,prophet,,
pros,prose,,
pull,pool,,
quartz,quarts,,
queue,cue,,
quince,quints,,
rabbit,rabbet,,
rack,wrack,,
rain,reign,rein,
raise,rays,raze,
rapper,wrapper,,
raw,ror,roar,
read,red,,
read,reed,,
real,reel,,
residents,residence,,
rest,wrest,,
review,revue,,
right,write,rite,wright
rigor,rigger,,
ring,wring,,
road,rode,rowed,
roads,rhodes,,
role,roll,,
Rome,roam,,
room,rheum,,
rose,rows,,
rough,ruff,,
route,root,,
row,roe,,
rude,rued,,
rue,roux,,
rumor,roomer,,
rung,wrung,,
Russell,rustle,,
rye,wry,,
sachet,sashay,,
sack,sac,,
sacks,sax,,
sale,sail,,
sane,seine,,
sauce,source,,
sauced,sourced,,
saver,savor,,
see,sea,,
seed,cede,,
seem,seam,,
seen,scene,,
seer,sear,,
sees,seize,seas,
sell,cell,,
seller,cellar,,
sense,cents,scents,
sensor,censor,,
sent,cent,scent,
serial,cereal,,
series,Ceres,,
session,cession,,
sheer,shear,,
shoe,shoo,,
shoot,chute,,
shown,shone,,
sick,sic,,
side,sighed,,
signet,cygnet,,
sink,sync,,
sinking,syncing,,
size,sighs,,
skull,scull,,
slay,sleigh,,
slew,slough,slue,
slight,sleight,,
slow,sloe,,
so,sow,sew,
sold,soled,,
some,sum,,
son,sun,,
sore,soar,,
sorry,sari,,
sort,sought,,
soul,sole,,
spade,spayed,,
stake,steak,,
stare,stair,,
stationary,stationery,,
stayed,staid,,
steel,steal,,
step,steppe,,
straight,strait,,
straightened,straitened,,
style,stile,,
sue,Sioux,,
suit,soot,,
summary,summery,,
Sunday,sundae,,
surf,serf,,
surge,serge,,
swayed,suede,,
sweet,suite,,
sword,soared,,
symbol,cymbal,,
tacked,tact,,
tale,tail,,
talent,talon,,
taper,tapir,,
taught,taut,,
taupe,tope,,
tax,tacks,,
tea,tee,,
team,teem,,
tear,tare,,
tear,tier,,
tease,teas,tees,
tens,tends,,
tense,tents,,
terry,tarry,,
than,then,,
the,thee,,
their,there,they're,
there's,theirs,,
through,threw,,
thrown,throne,,
throws,throes,,
tick,tic,,
tie,Thai,,
tied,tide,,
Tigris,tigress,,
timber,timbre,,
time,thyme,,
to,two,too,
toe,tow,,
told,tolled,,
tool,tulle,,
tort,torte,,
torturous,tortuous,,
towed,toad,toed,
tracked,tract,,
trader,traitor,,
troop,troupe,,
trust,trussed,,
tucks,tux,,
turbine,turban,,
turn,tern,,
tutor,Tudor,,
undo,undue,,
use,ewes,yews,
utter,udder,,
vain,vein,vane,
valence,valance,,
veil,vale,,
vein,vane,,
Venus,venous,,
versus,verses,,
very,vary,,
vice,vise,,
vile,vial,,
wade,weighed,,
wait,weight,waite,
waited,weighted,,
waiter,wader,,
waiting,weighting,,
walk,wok,,
want,wont,,
war,wore,,
waste,waist,,
wave,waive,,
wax,whacks,,
way,weigh,whey,
Wayne,wane,wain,
ways,weighs,,
we,wee,,
wears,where's,wares,
we'd,weed,,
week,weak,,
we'll,wheel,,
were,whir,,
wet,whet,,
we've,weave,,
whale,wail,wale,
where,wear,ware,
whether,weather,wether,
which,witch,,
while,wile,,
whoa,woe,,
whole,hole,,
whose,who's,,
wind,whined,wined,
wine,whine,,
with,width,,
word,whirred,,
world,whirled,whorled,
worn,warn,,
would,wood,,
wrap,rap,,
wrapped,rapped,rapt,
wreak,reek,,
wretch,retch,,
wrote,rote,,
yoke,yolk,,
you,yew,ewe,
you'll,Yule,,
your,you're,yore,
